customer_id,customer_name,gender_cd,gender,birth_day,age,postal_cd,address,application_store_cd,application_date,status_cd
CS021313000114,大野 あや子,1,女性,1981-04-29,37,259-1113,神奈川県伊勢原市粟窪**********,S14021,20150905,0-00000000-0
CS037613000071,六角 雅彦,9,不明,1952-04-01,66,136-0076,東京都江東区南砂**********,S13037,20150414,0-00000000-0
CS031415000172,宇多田 貴美子,1,女性,1976-10-04,42,151-0053,東京都渋谷区代々木**********,S13031,20150529,D-20100325-C
CS028811000001,堀井 かおり,1,女性,1933-03-27,86,245-0016,神奈川県横浜市泉区和泉町**********,S14028,20160115,0-00000000-0
CS001215000145,田崎 美紀,1,女性,1995-03-29,24,144-0055,東京都大田区仲六郷**********,S13001,20170605,6-20090929-2
CS020401000016,宮下 達士,0,男性,1974-09-15,44,174-0065,東京都板橋区若木**********,S13020,20150225,0-00000000-0
CS015414000103,奥野 陽子,1,女性,1977-08-09,41,136-0073,東京都江東区北砂**********,S13015,20150722,B-20100609-B
CS029403000008,釈 人志,0,男性,1973-08-17,45,279-0003,千葉県浦安市海楽**********,S12029,20150515,0-00000000-0
CS015804000004,松谷 米蔵,0,男性,1931-05-02,87,136-0073,東京都江東区北砂**********,S13015,20150607,0-00000000-0
CS033513000180,安斎 遥,1,女性,1962-07-11,56,241-0823,神奈川県横浜市旭区善部町**********,S14033,20150728,6-20080506-5
CS007403000016,依田 満,0,男性,1975-08-18,43,276-0022,千葉県八千代市上高野**********,S12007,20150914,0-00000000-0
CS035614000014,板倉 菜々美,1,女性,1954-07-16,64,154-0015,東京都世田谷区桜新町**********,S13035,20150804,0-00000000-0
CS011215000048,芦田 沙耶,1,女性,1992-02-01,27,223-0062,神奈川県横浜市港北区日吉本町**********,S14011,20150228,C-20100421-9
CS009413000079,市川 コウ,1,女性,1975-12-28,43,158-0093,東京都世田谷区上野毛**********,S13009,20151209,0-00000000-0
CS040412000191,川井 郁恵,1,女性,1977-01-05,42,226-0021,神奈川県横浜市緑区北八朔町**********,S14040,20151101,1-20091025-4
CS029415000023,梅田 里穂,1,女性,1976-01-17,43,279-0043,千葉県浦安市富士見**********,S12029,20150610,D-20100918-E
CS009315000023,皆川 文世,1,女性,1980-04-15,38,154-0012,東京都世田谷区駒沢**********,S13009,20150319,5-20080322-1
CS040702000012,根本 六郎,0,男性,1939-07-02,79,226-0018,神奈川県横浜市緑区長津田みなみ台**********,S14040,20150112,0-00000000-0
CS046615000013,河野 花,1,女性,1953-04-06,65,224-0026,神奈川県横浜市都筑区南山田町**********,S14046,20181207,0-00000000-0
CS025412000147,堀口 陽子,1,女性,1974-10-22,44,242-0015,神奈川県大和市下和田**********,S14025,20150417,0-00000000-0
CS002613000047,竹村 優,1,女性,1953-08-30,65,185-0011,東京都国分寺市本多**********,S13002,20151101,0-00000000-0
CS035415000029,寺沢 真希,9,不明,1977-09-27,41,158-0096,東京都世田谷区玉川台**********,S13035,20141220,F-20101029-F
CS015315000033,福士 璃奈子,1,女性,1983-03-17,36,135-0043,東京都江東区塩浜**********,S13015,20141024,4-20080219-3
CS023513000066,神戸 そら,1,女性,1961-12-17,57,210-0005,神奈川県川崎市川崎区東田町**********,S14023,20150915,5-20100524-9
CS035513000134,市川 美帆,1,女性,1960-03-27,59,156-0053,東京都世田谷区桜**********,S13035,20150227,8-20100711-9
CS011312000159,薬師丸 早紀,1,女性,1980-04-09,38,211-0034,神奈川県川崎市中原区井田中ノ町**********,S14011,20170824,0-00000000-0
CS004613000404,堀越 サンタマリア,1,女性,1951-04-11,67,165-0035,東京都中野区白鷺**********,S13004,20170418,0-00000000-0
CS001515000263,高松 夏空,1,女性,1962-11-09,56,144-0051,東京都大田区西蒲田**********,S13001,20160812,1-20100804-1
CS040314000027,鶴田 きみまろ,9,不明,1986-03-26,33,226-0027,神奈川県横浜市緑区長津田**********,S14040,20150122,2-20080426-4
CS028413000087,浅野 薫,1,女性,1974-12-27,44,246-0013,神奈川県横浜市瀬谷区相沢**********,S14028,20150528,0-00000000-0
CS006415000279,末永 綾,1,女性,1969-10-03,49,224-0037,神奈川県横浜市都筑区茅ケ崎南**********,S14006,20150713,1-20100519-2
CS028314000011,小菅 あおい,1,女性,1983-11-26,35,246-0038,神奈川県横浜市瀬谷区宮沢**********,S14028,20151123,1-20080426-5
CS031415000106,宇野 由美子,1,女性,1970-02-26,49,151-0053,東京都渋谷区代々木**********,S13031,20150201,F-20100511-E
CS029215000025,石倉 美帆,1,女性,1993-09-28,25,279-0022,千葉県浦安市今川**********,S12029,20150708,B-20100820-C
CS024303000010,横田 雅彦,0,男性,1981-12-18,37,214-0035,神奈川県川崎市多摩区長沢**********,S14024,20150917,0-00000000-0
CS003802000009,大森 照生,0,男性,1930-01-23,89,214-0014,神奈川県川崎市多摩区登戸**********,S13003,20150216,0-00000000-0
CS002213000045,板垣 小百合,1,女性,1989-06-08,29,185-0014,東京都国分寺市東恋ケ窪**********,S13002,20151121,0-00000000-0
CS002715000148,前田 菜々美,1,女性,1941-12-31,77,184-0015,東京都小金井市貫井北町**********,S13002,20160514,0-00000000-0
CS001212000098,菊地 りえ,9,不明,1995-01-19,24,210-0842,神奈川県川崎市川崎区渡田東町**********,S13001,20170604,3-20090405-2
CS001513000432,吉原 朝香,1,女性,1962-12-14,56,144-0045,東京都大田区南六郷**********,S13001,20160411,0-00000000-0
CS033605000005,猪股 雄太,0,男性,1955-12-05,63,246-0031,神奈川県横浜市瀬谷区瀬谷**********,S14033,20150425,F-20100917-E
CS008615000055,二宮 コウ,1,女性,1953-06-15,65,157-0074,東京都世田谷区大蔵**********,S13008,20150623,5-20100531-8
